name, MAE_Age, MAE_Leave, RMSE_Age, RMSE_Leave
mustard_unimodal_seed_0, 4.3760683760683765, 4.6923076923076925, 5.942746782106681, 5.495141599320367
mustard_unimodal_seed_1, 4.743589743589744, 9.311965811965813, 5.305214335472145, 10.064110730030984
mustard_unimodal_seed_2, 4.739316239316239, 17.987179487179485, 6.273332515872314, 18.667925781710537
mustard_unimodal_seed_3, 4.247863247863248, 18.02991452991453, 5.533889375830675, 18.868302003964757
mustard_unimodal_seed_4, 4.303418803418803, 7.9743589743589745, 5.514162031168735, 8.700623811018076
radish_unimodal_seed_0, 2.686046511627907, 5.988372093023256, 3.8574402083817594, 6.791182153260189
radish_unimodal_seed_1, 2.7868217054263567, 2.205426356589147, 3.6413857145983064, 2.8386862339617105
radish_unimodal_seed_2, 3.4728682170542635, 2.6511627906976742, 4.745458865585207, 3.5218036253024954
radish_unimodal_seed_3, 2.7209302325581395, 3.4728682170542635, 3.7156697310697027, 3.8297084310253524
radish_unimodal_seed_4, 2.9728682170542635, 4.593023255813954, 3.9004074523790004, 5.16210100847566
wheat_unimodal_seed_0, 8.509727626459144, 5.492217898832685, 9.870563082428598, 7.052471487755418
wheat_unimodal_seed_1, 6.097276264591439, 3.1634241245136185, 7.210293118053456, 4.113184646687186
wheat_unimodal_seed_2, 5.412451361867705, 6.61284046692607, 6.350035999775401, 8.250810595716116
wheat_unimodal_seed_3, 6.1050583657587545, 4.089494163424124, 7.498119089696328, 5.2401473232030025
wheat_unimodal_seed_4, 8.149805447470817, 6.496108949416342, 9.453655130727972, 7.949133031551767
mustard_multimodal_seed_0, 7.670940170940171, 8.974358974358974, 8.877369672808062, 9.806242560858525
mustard_multimodal_seed_1, 9.658119658119658, 4.811965811965812, 10.718224754143844, 5.629592142625227
mustard_multimodal_seed_2, 6.371794871794871, 5.072649572649572, 7.540488999990276, 5.804875640061654
mustard_multimodal_seed_3, 4.478632478632479, 15.764957264957266, 5.631869025283589, 16.364569817112375
mustard_multimodal_seed_4, 6.239316239316239, 14.38034188034188, 7.715563137575541, 15.215966647756593
radish_multimodal_seed_0, 2.6782945736434107, 3.8410852713178296, 3.5124363769790308, 4.2458369943917695
radish_multimodal_seed_1, 2.441860465116279, 0.9844961240310077, 3.3317825850133813, 1.2636847806340794
radish_multimodal_seed_2, 2.934108527131783, 1.2945736434108528, 4.067740358959379, 1.6282391687641204
radish_multimodal_seed_3, 2.872093023255814, 2.3372093023255816, 3.7442462318818244, 2.525068116358064
radish_multimodal_seed_4, 2.7325581395348837, 2.616279069767442, 3.815005054504053, 3.0645510059741303
wheat_multimodal_seed_0, 5.30544747081712, 3.529182879377432, 6.254492548784558, 4.570672880841243
wheat_multimodal_seed_1, 5.891050583657588, 3.22568093385214, 7.08096588192682, 4.47213595499958
wheat_multimodal_seed_2, 4.803501945525292, 6.519455252918288, 5.799671263996609, 7.6031173209486225
wheat_multimodal_seed_3, 6.63035019455253, 8.599221789883268, 7.918603422046215, 9.938527006863133
wheat_multimodal_seed_4, 8.982490272373541, 4.538910505836576, 10.220240084899968, 5.791278831643023
